name,connectivity,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
AMANTADINE,DKNWSYNQZKUICI,0,0,0,0,0,0,0,0,0,0,0,0
AMIKACIN,LKCWBDHBTVXHDL,0,0,0,0,1,0,0,0,0,0,0,0
AMILORIDE,XSDQTOBWRPYKKA,0,0,1,0,0,0,0,1,0,0,0,1
AMINOCAPROIC ACID,SLXKOJJOQWFEFD,,,,,,,,0,,0,,
AMINOGLUTETHIMIDE,ROBVIMPUHSLWNV,0,0,0,1,0,0,0,0,0,0,0,0
AMINOSALICYLIC ACID,WUBBRNOQWQTFEX,0,0,0,0,0,0,0,0,0,0,0,0
AMIODARONE,IYIKLHRQXLHMJQ,0,0,0,0,0,0,,0,0,,,0
AMITRAZ,QXAITBQSYVNQDR,0,0,1,,0,0,0,0,0,0,1,0
AMITRIPTYLINE,KRMDCWKBEZIMAB,0,0,0,0,0,0,,0,0,0,,0
AMLODIPINE,HTIQEAQVCYTUBX,0,1,0,1,0,,1,,0,,,1
AMOXAPINE,QWGDMFLQWFTERH,0,0,0,1,0,,0,0,0,,,
AMOXICILLIN,LSQZJLSUYDQPKJ,0,0,0,0,0,0,0,,0,,0,0
AMPICILLIN,AVKUERGKIZMTKX,0,0,0,0,0,0,0,0,0,0,0,0
AMPIROXICAM,LSNWBKACGXCGAJ,,,,,,,,0,,0,,
AMPRENAVIR,YMARZQAQMVYCKC,0,0,0,0,,0,0,,0,,0,0
ANASTROZOLE,YBBLVLTVTVSKRW,0,0,0,1,0,0,0,0,0,0,0,0
ANISINDIONE,XRCFXMGQEVUZFC,,,,,,,,0,,0,,
ANTIPYRINE,VEQOALNAAJBPNY,0,0,0,0,0,0,0,0,0,0,0,0
ARTEMETHER,SXYIRMFQILZOAM,0,0,0,0,0,0,0,,0,,0,0
ARTEMISININ,BLUAFEHZUWYNDE,,,,,,,,,,0,,
ASCORBIC ACID,CIWBSHSKHKDKBQ,0,0,0,0,,0,0,0,0,0,0,0
ASPIRIN,BSYNRYMUTXBXSQ,0,0,0,0,0,0,0,0,0,0,0,0
ATENOLOL,METKIMKYRPQLGS,0,0,0,0,0,0,0,0,0,0,0,0
ATORVASTATIN,XUKUURHRXDUEBC,0,0,0,1,1,0,0,,0,0,,0
ATROPINE,RKUNBYITZUJHSG,0,0,0,0,0,0,0,0,0,0,0,0
AURANOFIN,SFOZKJGZNOBSHF,0,,,,,1,,,1,,,
AZARIBINE,QQOBRRFOVWGIMD,,,,,,,,0,,0,,
AZASETRON,WUKZPHOXUVCQOR,0,0,0,,0,0,0,0,0,0,0,0
AZATHIOPRINE,LMEKQMALGUDUQG,0,0,1,,0,0,0,1,0,0,,1
AZITHROMYCIN,MQTOSJVFKKJCRP,0,0,0,0,0,0,0,,0,0,0,0
AZLOCILLIN,JTWOMNBEOCYFNV,0,0,0,0,0,0,0,,0,,0,0
AZTREONAM,WZPBZJONDBGPKJ,0,0,0,0,0,0,0,0,0,0,0,0
BACITRACIN,CLKOFPXJLQSYAH,0,0,0,0,1,0,0,,0,,0,0
BACLOFEN,KPYSYYIEGFHWSV,0,0,0,0,0,0,0,0,0,0,0,0
BALSALAZIDE,IPOKCKJONYRRHP,0,0,0,0,0,0,0,0,0,0,,0
BENAZEPRIL,XPCFTKFZXHTYIP,,,,,,,,,,1,,
BENZETHONIUM CHLORIDE,SIYLLGKDQZGJHK,0,,0,,,0,0,1,,,1,
BENZOCAINE,BLFLLBZGZJTVJG,0,0,,,,0,0,0,0,0,0,0
BENZOIC ACID,WPYMKLBDIGXBTP,0,0,0,0,0,0,0,0,0,0,0,0
BENZOTHIAZYL DISULFIDE,AFZSMODLJJCVPP,0,0,0,0,0,0,0,1,0,1,0,0
BENZYL ACETATE,QUKGYYKBILRGFE,0,0,0,0,0,0,0,0,0,0,0,0
BETA-ESTRADIOL,VOXZDWNPVJITMN,1,1,0,1,1,1,0,0,0,0,1,1
BETA-ESTRADIOL 3-BENZOATE,UYIFTLBWAOGQBI,1,1,0,0,1,1,0,,0,,,0
BETA-NAPHTHOFLAVONE,OUGIDAPQYNCXRA,,0,1,1,1,0,0,1,1,0,,0
BETAHISTINE,UUQMNUMQCIQDMZ,,,,,,,,,,0,,
BETAMETHASONE,UREBDLICKHMUKA,1,1,,,0,0,0,0,0,0,0,0
BEZAFIBRATE,IIBYAHWJQTYFKB,0,0,0,0,0,0,1,0,0,0,0,0
BIS(2-ETHYLHEXYL)PHTHALATE,BJQHLKABXJIVAM,0,0,0,0,0,0,0,0,0,0,,0
BISACODYL,KHOITXIGCFIULA,0,0,0,,,,0,0,0,0,1,1
BISPHENOL A,IISBACLAFKSPIT,0,0,,0,1,1,,1,0,0,1,0
BITHIONOL,JFIOVJDNOJYLKP,0,0,0,,,0,,0,0,1,1,1
BROMFENAC,ZBPLOVFIXSTCRZ,0,0,0,0,0,0,1,0,0,0,,0
BROMHEXINE,OJGDCBLYJGHCIH,0,0,,0,,0,0,0,0,0,,
BROMISOVALUM,CMCCHHWTTBEZNM,0,0,0,0,0,0,0,1,0,0,0,0
BROMOBENZENE,QARVLSVVCXYDNA,0,0,0,0,0,0,0,0,0,0,0,0
BROMODICHLOROMETHANE,FMWLUWPQPKEARP,,,0,0,,0,0,0,0,0,0,0
BUFLOMEDIL,OWYLAEYXIQKAOL,0,0,0,0,0,0,0,0,0,0,0,0
BUPROPION,SNPPWIUOZRMYNY,0,0,0,0,0,0,0,0,0,0,0,0
BUSPIRONE,QWCRAEMEVRGPNT,0,0,0,0,0,0,0,1,0,0,0,0
BUSULFAN,COVZYZSDYWQREU,0,0,0,0,1,0,0,0,0,0,0,0
BUTENAFINE,ABJKWBDEJIDSJZ,0,0,0,0,0,0,0,0,0,0,0,0
CADMIUM ACETATE,QTBSBXVTEAMEQO,0,0,0,0,0,0,0,0,0,0,0,0
CADMIUM CHLORIDE,WLZRMCYVCSSEQC,0,0,1,,0,0,0,0,1,1,0,0
CAFFEINE,RYYVLZVUVIJVGH,0,0,0,0,0,0,0,0,0,0,0,0
CALCITRIOL,GMRQFYUYWCNGIN,0,0,,0,,0,,,,,1,
CANDESARTAN,HTQMVQVXFRQIKW,,,,,,,,0,,0,,
CAPSAICIN,YKPUWZUDDOIDPM,0,0,0,1,0,0,0,1,0,0,0,0
CAPTOPRIL,FAKRSMQSSFJEIM,,,,,,,,0,,0,,
CARBACHOL,VPJXQGSRWJZDOB,0,0,0,0,0,0,,0,0,0,0,0
CARBAMAZEPINE,FFGPTBGBLSHEPO,1,1,0,0,0,0,0,0,0,0,0,0
CARBIMAZOLE,CFOYWRHIYXMDOT,0,0,0,0,0,0,0,0,0,0,0,0
CARBON TETRACHLORIDE,VZGDMQKNWNREIO,0,0,0,0,0,0,0,0,0,0,0,0
CARBOPLATIN,CCQPAEQGAVNNIA,0,0,0,0,0,0,0,1,0,0,,0
CARMOFUR,AOCCBINRVIKJHY,,,,,,,,,,0,,
CARMUSTINE,DLGOEMSEDOSKAD,0,0,0,0,0,0,0,1,0,0,0,
CARVEDILOL,OGHNVEJMJSYVRP,0,0,1,0,,0,0,0,0,0,1,0
CATECHOL,YCIMNLLNPGFGHC,0,0,1,,0,1,0,1,0,0,0,0
CEFOTAXIME,GPRBEKHLDVQUJE,0,0,0,0,0,0,0,,0,,0,0
CELECOXIB,RZEKVGVHFLEQIL,0,0,0,,1,1,0,1,0,0,,0
CEPHALEXIN,ZAIPMKNFIOOWCQ,,,,,,,,,,0,,
CERIVASTATIN,SEERZIQQUAZTOL,1,,0,1,1,,,,0,0,,0
CETRAXATE,FHRSHSOEWXUORL,0,0,0,1,,0,0,0,0,0,0,0
CETYLPYRIDINIUM BROMIDE,NEUSVAOJNUQRTM,0,0,0,1,,0,,1,,,,
CHLORAMBUCIL,JCKYGMPEJWAADB,0,0,0,0,0,0,0,1,1,0,0,1
CHLORAMPHENICOL,WIIZWVCIJKGZOK,0,0,0,0,0,0,0,0,0,0,0,0
CHLORMADINONE ACETATE,QMBJSIBWORFWQT,1,1,0,,,0,0,1,0,0,,1
CHLOROBENZENE,MVPPADPHJFYWMZ,0,0,0,0,0,0,0,0,0,0,0,0
CHLOROFORM,HEDRZPFGACZZDS,0,0,0,0,,0,0,0,0,0,0,0
CHLOROXYLENOL,OSDLLIBGSJNGJE,0,0,0,0,0,0,0,0,0,0,1,0
CHLORPROMAZINE,ZPEIMTDSQAKGNT,0,0,0,0,,0,,,0,0,,1
CHLORPROPAMIDE,RKWGIWYCVPQPMF,0,0,0,0,0,0,0,0,0,0,0,0
CHLORPYRIFOS,SBPBAQFWLVIOKP,0,0,1,0,0,0,0,1,0,0,1,0
CHLORZOXAZONE,TZFWDZFKRBELIQ,0,0,0,0,0,0,0,0,0,0,,0
CHOLECALCIFEROL,QYSXJUFSXHHAJI,0,0,0,,0,0,,1,0,1,0,
CHOLIC ACID,BHQCQFFYRZLCQQ,0,0,0,0,0,0,0,0,0,0,0,0
CHOLINE CHLORIDE,OEYIOHPDSNJKLS,0,0,0,0,0,0,0,0,0,0,0,0
CILOSTAZOL,RRGUKTPIGVIEKM,0,0,0,0,0,0,0,1,0,0,0,0
CIMETIDINE,AQIXAKUUQRKLND,0,0,0,0,0,0,0,0,0,0,0,0
CINNARIZINE,DERZBLKQOCDDDZ,0,0,0,0,0,0,0,1,0,0,0,0
CIPROFLOXACIN,MYSWGUAQZAJSOK,0,0,0,0,0,0,0,,0,0,0,0
CISAPRIDE,DCSUBABJRXZOMT,0,0,,0,,0,0,0,0,0,,0
CISPLATIN,QGZKDVFQNNGYKY,0,0,0,0,0,0,0,1,0,0,0,0
CITALOPRAM,WSEQXVZVJXJVFP,0,0,0,0,0,0,0,,0,0,,0
CITRIC ACID,KRKNYBCHXYNGOX,0,0,0,0,0,0,0,0,0,0,0,0
CLARITHROMYCIN,AGOYDEPGAOXOCK,0,0,0,0,0,0,0,0,0,0,0,0
CLEMASTINE,YNNUSGIPVFPVBX,0,0,0,0,0,0,0,,0,0,,0
CLINDAMYCIN,KDLRVYVGXIQJDK,0,0,0,0,0,0,0,,0,,0,0
CLOBETASOL PROPIONATE,CBGUOGMQLZIXBE,1,1,1,,0,0,0,,0,0,1,0
CLOFIBRATE,KNHUKKLJHYUCFP,0,0,0,0,1,0,0,0,0,0,0,0
CLOFIBRIC ACID,TXCGAZHTZHNUAI,0,0,0,0,0,0,0,0,0,0,0,0
CLOMIPHENE,GKIRPKYJQBWNGO,0,0,0,1,,0,0,,0,,,
CLOMIPRAMINE,GDLIGKIOYRNHDA,0,0,0,,0,0,,0,0,0,,0
CLONIDINE,GJSURZIOUXUGAL,0,0,0,0,0,0,0,0,0,0,0,0
CLOPIDOGREL,GKTWGGQPFAXNFI,0,0,0,0,1,1,0,0,0,0,0,0
CLOSANTEL,JMPFSEBWVLAJKM,0,0,0,,,0,0,,,,1,1
CLOTRIMAZOLE,VNFPBHJOKIVQEB,0,,1,1,,,,1,0,1,,
CLOXACILLIN,LQOLIRLGBULYKD,0,0,0,0,0,0,0,0,0,0,0,0
CLOZAPINE,QZUDBNBUXVUHMW,0,0,0,0,,0,,,0,0,,0
COBALT (II) CHLORIDE,XLJKHNWPARRRJB,0,0,0,0,0,0,0,1,0,0,0,0
COBALT(II) ACETYLACETONATE,YRKCREAYFQTBPV,0,0,0,0,0,0,0,0,0,0,0,0
COLCHICINE,IAKHMKGGTNLKSZ,0,,0,0,0,0,,1,1,0,1,0
CORTISONE,MFYSYFVPBJMHGN,1,1,0,0,0,0,0,0,0,0,0,0
COUMARIN,ZYGHJZDHTFUPRJ,0,0,0,0,1,0,0,0,0,0,0,0
CROMOLYN,IMZMKUWMOSJXDT,0,0,0,0,0,0,0,0,0,0,,0
CROTAMITON,DNTGGZPQPQTDQF,0,0,0,0,0,0,0,0,0,0,0,0
CYCLOHEXIMIDE,YPHMISFOHDHNIV,0,0,0,1,,0,,,,0,,1
CYCLOPHOSPHAMIDE,CMSMOCZEIVJLDB,0,0,0,0,1,0,0,0,0,0,0,0
CYCLOSPORIN A,PMATZTZNYRCHOR,0,,0,0,0,0,,1,0,0,,0
CYPROHEPTADINE,JJCFRYNCJDLXIK,0,0,0,0,0,0,0,0,0,0,,0
CYPROTERONE ACETATE,UWFYSQMTEOIJJG,1,1,0,0,0,0,0,1,0,0,,0
CYTARABINE,UHDGCWIWMRVCDJ,0,0,0,0,1,0,0,0,0,0,0,1
D-LIMONENE,XMGQYMWWDOXHJM,0,0,0,0,,0,0,0,0,0,0,0
D-TUBOCURARINE CHLORIDE,JFJZZMVDLULRGK,0,0,0,0,0,0,0,0,0,0,0,0
DACTINOMYCIN,RJURFGZVJUQBHK,0,,0,1,,0,,,0,0,,1
DANAZOL,POZRVZJJTULAOH,1,1,0,1,1,1,0,,0,1,0,0
DAUNORUBICIN,STQGQHZAVUOBTE,0,1,,1,1,1,,,1,0,1,1
DEFERIPRONE,TZXKOCQBRNJULO,0,0,,0,0,0,0,,0,,0,0
DEXAMETHASONE,UREBDLICKHMUKA,1,1,,,0,0,0,0,0,0,0,0
DEXCHLORPHENIRAMINE,SOYKEARSMXGVTM,,0,0,,0,0,,0,0,0,0,0
DEXFENFLURAMINE,DBGIVFWFUFKIQN,0,0,0,0,0,0,0,,0,,,0
DEXIBUPROFEN,HEFNNWSXXWATRW,0,0,0,0,0,0,0,,0,,0,0
DIAZEPAM,AAOVKJBEBIDNHE,0,0,0,,,0,0,0,1,0,0,0
DIBROMOCHLOROMETHANE,GATVIKZLVQHOMN,0,0,0,0,0,0,0,0,0,0,0,0
DICHLORVOS,OEBRKCOSUFCWJD,0,0,0,0,0,0,0,1,0,0,0,0
DICLOFENAC,DCOPUUMXTXDBNB,0,0,0,0,1,0,0,,0,0,0,1
DICUMAROL,DOBMPNYZJYQDGZ,,,,,,,,1,,,,
DICYCLOMINE,CURUTKGFNZGFSE,0,0,0,,0,0,0,0,0,0,,0
DIDEOXYCYTIDINE,WREGKURFCTUGRC,0,0,0,0,0,0,0,0,0,0,0,0
DIETHANOLAMINE,ZBCBWPMODOFKDW,0,0,0,0,0,0,0,0,0,0,0,0
DIETHYLSTILBESTROL,RGLYKWWBQGJZGM,0,0,0,0,1,1,0,,0,,1,1
DIFLUNISAL,HUPFGZXOMWLGNK,0,,0,0,0,0,,,0,0,,0
DIGITONIN,UVYVLBIGDKGWPX,0,,,,,1,,,1,,,
DIGITOXIN,WDJUZGPOPHTGOT,,1,0,,,0,,,,0,1,1
DIGOXIN,LTMHDMANZUZIPE,,1,0,1,1,1,,,,0,1,1
DIMENHYDRINATE,ZZVUWRFHKOJYTH,0,0,0,0,0,1,0,0,0,0,0,0
DIMETHYL METHYLPHOSPHONATE,VONWDASPFIQPDY,0,0,0,0,0,0,0,0,0,0,0,0
DIPHENHYDRAMINE,ZZVUWRFHKOJYTH,0,0,0,0,0,1,0,0,0,0,0,0
DIPHENIDOL,OGAKLTJNUQRZJU,0,0,0,0,0,0,0,0,0,0,,0
DIPYRIDAMOLE,IZEKFCXSFNUWAM,0,,0,,,,0,,,,,1
DIPYRONE,LVWZTYCIRDMTEY,0,0,0,0,1,0,0,0,0,0,0,0
DISULFIRAM,AUZONCFQVSMFAP,0,1,1,,,0,1,,1,1,1,0
DOBUTAMINE,JRWZLRBJNMZMFE,0,0,,,0,0,0,0,0,0,,0
DOXAPRAM,XFDJYSQDBULQSI,0,0,0,0,0,0,0,,0,0,0,0
DOXAZOSIN,RUZYUOTYCVRMRZ,0,0,0,0,0,0,0,,0,0,0,0
DOXEPIN,ODQWQRRAPPTVAG,0,0,0,0,0,0,0,0,0,0,,0
DOXIFLURIDINE,ZWAOHEXOSAUJHY,0,0,0,0,1,1,0,,0,0,0,1
DOXOFYLLINE,HWXIGFIVGWUZAO,0,0,0,0,0,0,0,0,0,0,0,0
DOXORUBICIN,AOJJSUZBOXZQNB,0,1,0,1,0,1,0,1,1,0,1,1
DROPERIDOL,RMEDXOLNCUSCGS,0,0,0,0,0,0,0,0,0,0,0,0
DYPHYLLINE,KSCFJBIXMNOVSH,0,0,0,0,0,0,0,0,0,0,0,0
EBASTINE,MJJALKDDGIKVBE,0,0,,0,,0,0,,0,,,
ECONAZOLE,LEZWWPYKPKIXLL,0,,1,1,0,,0,0,0,1,,
EMETINE,AUVVAXYIELKVAI,0,0,0,1,,0,,,,0,,0
ENALAPRIL,GBXSMTUPTTWBMN,0,0,0,0,0,0,0,0,0,0,0,0
ENOXACIN,IDYZIJYBMGIQMJ,0,0,0,0,0,0,0,0,0,0,0,0
ENROFLOXACIN,SPFYMRJSYKOXGV,0,0,0,0,0,0,0,0,0,0,,0
EPALRESTAT,CHNUOJQWGUIOLD,0,0,0,,0,0,,,1,,0,0
EPERISONE,SQUNAWUMZGQQJD,0,0,0,,0,0,0,1,0,0,0,0
EPINEPHRINE,UCTWMZQNUQWSLP,0,0,,0,0,0,0,0,0,0,0,0
EPIRUBICIN,AOJJSUZBOXZQNB,0,1,0,1,0,1,0,1,1,0,1,1
ERGOCALCIFEROL,MECHNRXZTMCUDQ,0,0,0,0,1,0,,1,0,1,0,
ERLOTINIB,AAKJLRGGTJKAMG,1,0,1,1,0,0,,1,0,0,,0
ERYTHROMYCIN,ULGZDMOVFRHVEP,0,0,0,0,1,,0,,0,,0,0
ESMOLOL,AQNDDEOPVVGCPG,0,0,0,0,0,0,0,0,0,0,0,0
ESTRIOL,PROQIPRRNZUXQM,0,0,0,0,1,1,0,0,0,0,0,0
ETHACRYNIC ACID,AVOLMBLBETYQHX,0,0,0,,0,1,,1,0,1,0,1
ETHAMBUTOL,AEUTYOVWOVBAKS,0,0,0,0,0,0,0,0,0,0,0,0
ETHANOL,LFQSCWFLJHTTHZ,0,0,0,0,0,0,0,0,0,0,0,0
ETHINYLESTRADIOL,BFPYWIDHMRZLRN,0,1,0,0,1,1,0,0,0,1,1,1
ETHISTERONE,CHNXZKVNWQUJIB,1,1,0,0,1,1,0,0,0,0,0,0
ETHOSUXIMIDE,HAPOVYFOVVWLRS,0,0,0,0,0,0,0,0,0,0,0,0
ETHYLENE GLYCOL,LYCAIKOWRPUZTN,0,0,0,0,0,0,0,0,0,0,0,0
ETHYLESTRENOL,AOXRBFRFYPMWLR,,,,,,,,0,,0,,
ETIDRONATE,DBVJJBKOTRCVKF,0,0,0,0,0,0,0,0,0,0,0,0
ETODOLAC,NNYBQONXHNTVIJ,0,0,0,0,0,0,0,1,0,0,0,0
ETOPOSIDE,VJJPUSNTGOMMGY,0,0,0,0,0,0,,,0,1,0,1
EUCALYPTOL,WEEGYLXZBRQIMU,0,0,1,0,0,0,0,0,0,0,0,0
FAMCICLOVIR,GGXKWVWZWMLJEH,0,0,0,0,0,0,0,0,0,0,0,0
FAMOTIDINE,XUFQPHANEAPEMJ,0,0,0,0,0,0,0,0,0,0,0,0
FENBENDAZOLE,HDDSHPAODJUKPD,0,1,1,,1,,0,,1,,1,1
FENOFIBRATE,YMTINGFKWWXKFG,0,0,0,0,0,0,0,,0,0,0,0
FENOPROFEN,RDJGLLICXDHJDY,0,0,0,0,0,0,1,0,0,0,0,0
FINASTERIDE,DBEPLOCGEIEOCV,0,0,0,0,0,0,0,1,0,0,0,0
FLAVOXATE,SPIUTQOUKAMGCX,0,0,0,0,0,0,0,0,0,0,0,0
FLUCONAZOLE,RFHAOTPXVQNOHP,0,0,0,0,0,0,0,0,0,0,0,0
FLUNARIZINE,SMANXXCATUTDDT,0,0,0,,0,0,,0,0,0,0,
FLUOCINOLONE ACETONIDE,FEBLZLNTKCEFIT,1,0,0,,0,0,0,0,0,0,0,0
FLUOROURACIL,GHASVSINZRGABV,0,0,0,0,0,0,0,0,1,0,0,1
FLUOXETINE,RTHCYVBBDHJXIQ,0,0,0,,,0,,0,0,0,,
FLUPHENAZINE,PLDUPXSUYLZYBN,0,0,,,0,0,,,0,,,
FLURBIPROFEN,SYTBZMRGLBWNTM,0,0,0,0,1,0,,0,0,0,0,0
FLUTAMIDE,MKXKFYHWDHIYRV,0,0,0,1,,0,0,1,0,0,1,0
FLUVASTATIN,FJLGEFLZQAZZCD,0,0,1,1,0,0,,0,0,0,1,0
FOSCARNET,ZJAOAACCNHFJAH,0,0,0,0,1,1,0,0,0,0,0,0
FURAN,YLQBMQCUIZJEEH,0,0,0,0,,0,0,0,0,0,0,0
FUROSEMIDE,ZZUFCTLCJUWOSV,0,0,0,0,1,0,0,0,0,0,0,0
GABAPENTIN,UGJMXCAKCUNAIE,0,0,0,0,0,0,0,0,0,0,0,0
GADOPENTETATE DIMEGLUMINE,QPCDCPDFJACHGM,0,0,0,0,0,0,,,1,0,0,
GALANTAMINE,ASUTZQLVASHGKV,0,0,1,0,0,0,0,,0,,0,0
GALLAMINE TRIETHIODIDE,OZLPUNFFCJDMJD,0,0,0,0,0,0,0,0,0,0,0,0
GATIFLOXACIN,XUBOMFCQGDBHNK,0,0,0,0,1,0,0,0,0,0,0,0
GEFITINIB,XGALLCVXEZPNRQ,0,0,1,,,0,0,1,0,0,,
GEMCITABINE,SDUQYLNIPVEERB,0,0,0,0,0,0,,0,0,0,0,1
GEMFIBROZIL,HEMJJKBWTPKOJG,0,0,0,0,0,0,0,0,0,0,0,0
GENISTEIN,TZBJGXHYKVUXJN,0,0,1,,1,1,,1,1,0,1,1
GENTIAN VIOLET,LGLFFNDHMLKUMI,0,1,1,1,,1,1,1,0,1,1,
GERANIOL,GLZPCOQZEFWAFX,0,0,0,0,0,0,0,0,0,0,0,0
GLICLAZIDE,BOVGTQGAOIONJV,0,0,,0,0,0,0,0,0,0,0,0
GLIMEPIRIDE,WIGIZIANZCJQQY,0,,0,0,0,0,,,0,0,,0
GLIPIZIDE,ZJJXGWJIGJFDTL,0,0,0,0,0,0,0,1,0,0,0,0
GLYBURIDE,ZNNLBTZKUZBEKO,0,0,0,0,0,0,,,0,0,,0
GLYCIDOL,CTKINSOISVBQLD,0,0,0,0,0,0,0,0,0,0,0,0
GLYCINE,DHMQDGOQFOQNFH,,,,,,,,0,,0,,
GOLD SODIUM THIOMALATE,NJRXVEJTAYWCQJ,0,0,0,0,0,0,0,,0,,0,0
GRANISETRON,MFWNKCLOYSRHCJ,0,0,0,0,0,0,0,,0,,0,0
GRISEOFULVIN,DDUHZTYCFQRHIY,0,0,0,1,0,0,1,,1,0,0,1
GUANETHIDINE,ACGDKVXYNVEAGU,,,,,,,,0,,0,,
HALOPERIDOL,LNEPOXFFQSENCJ,0,0,0,0,0,0,0,,0,0,,0
"HEXACHLORO-1,3-BUTADIENE",RWNKSTSCBHKHTB,0,0,0,0,0,0,0,0,0,0,0,0
HEXACHLOROETHANE,VHHHONWQHHHLTI,,,,0,0,0,0,0,0,0,0,0
HEXACHLOROPHENE,ACGUYXCXAPNIKK,0,0,0,,,0,1,,0,1,1,1
HYDRALAZINE,RPTUSVTUFVMDQK,0,0,1,,1,,0,1,0,1,0,0
HYDRAZINE,OAKJQQAXSVQMHS,0,0,1,0,0,0,0,0,0,0,0,0
HYDROCHLOROTHIAZIDE,JZUFKLXOESDKRF,0,0,0,0,0,0,0,0,0,0,0,0
HYDROCORTISONE,JYGXADMDTFJGBT,1,1,0,,1,0,0,0,0,0,0,0
