name,abbr,liver,kidney,connectivity,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
"imatinib, methanesulfonate salt",IMA,True,False,KTUFNOKKBVMGRW,0,0,1,,0,0,0,,,0,1,0
imipramine,IMI,True,True,BCGWQEUPMDMJNV,0,0,0,0,,0,,,0,0,,0
indomethacin,IM,True,True,CGIGDMFJXJATDK,0,,0,0,0,0,1,0,0,0,0,0
iproniazid,IPA,True,False,NYMGNSNKLVNMIA,0,0,,0,1,1,0,0,0,0,0,0
isoniazid,INAH,True,False,QRXWMOHMRWLFEY,0,0,1,0,0,0,0,0,0,0,0,0
ketoconazole,KC,True,True,XMAYWYJOQHXEEK,0,0,1,0,,0,0,1,0,1,,0
labetalol,LBT,True,False,SGUAFYQXFOLMHL,0,0,0,0,0,0,0,,0,,0,0
lomustine,LS,True,True,GQYIWUVLTXOXAJ,,,,,,,,0,,0,,
mefenamic acid,MEF,True,False,HYYBABOKPJLUIN,0,,0,0,0,0,0,,0,0,,0
meloxicam,MLX,True,False,ZRVUJXDFFKFLMG,1,0,0,0,1,0,0,0,0,0,1,0
metformin,MFM,True,False,XZWYZXLIPXDOLR,0,0,0,,0,0,0,0,0,0,0,0
methapyrilene,MP,True,False,HNJJXZKZRAWDPF,0,0,0,0,0,0,0,0,0,0,0,0
methimazole,MTZ,True,False,PMRYVIKBURPHAH,0,0,0,0,0,0,0,0,0,1,0,0
methyldopa,MDP,True,False,CJCSPKMFHVPWAR,0,0,0,0,0,0,0,0,0,0,0,0
methyltestosterone,MTS,True,True,GCKMFJBGXUYNAG,1,1,0,0,1,1,0,,0,0,0,1
mexiletine,MEX,True,False,VLPIATFUUWWMKC,0,0,0,0,0,0,0,0,0,0,0,0
monocrotaline,MCT,True,True,QVCMHGGNRFRMAD,0,0,0,0,0,0,0,0,0,0,0,0
moxisylyte,MXS,True,False,VRYMTAVOXVTQEF,0,0,0,0,0,0,0,0,0,0,0,0
N-methyl-N-nitrosourea,MNU,True,False,ZRKWMRDKSOPRRS,0,0,0,0,0,0,0,0,0,1,0,0
N-nitrosomorpholine,NMOR,True,False,ZKXDGKXYMTYWTB,0,0,0,0,0,0,0,0,0,0,0,0
naproxen,NPX,True,False,CMWTZPSULFXXJA,0,0,0,0,0,0,0,0,0,0,0,0
nefazodone,NZD,False,False,VRBKIVRKKCLPHA,0,0,,,,0,,,0,0,,0
nicotinic acid,NIC,True,False,PVNIIMVLHYAWGP,0,0,0,0,0,0,0,0,0,0,0,0
nifedipine,NIF,True,False,HYIMSNHJOBLJNT,0,0,1,1,0,0,0,0,0,0,0,0
nimesulide,NIM,True,False,HYWYRSMBCFDLJT,0,0,0,0,0,0,0,0,0,0,1,0
nitrofurantoin,NFT,True,True,NXFQHRVNIOXGAQ,0,,0,,0,0,,1,0,0,1,0
nitrofurazone,NFZ,True,False,IAIWVQXQOWNYOU,0,0,0,0,0,0,0,1,0,0,1,0
nitrosodiethylamine,DEN,True,False,WBNQDOYYEUMPFS,0,0,0,0,1,0,0,0,0,0,0,0
omeprazole,OPZ,True,True,SUBDBMMJDZJVOS,0,0,1,0,,0,0,1,0,0,0,0
papaverine,PAP,True,False,XQYZDYMELSJDRZ,0,0,,0,,0,0,1,0,0,,0
pemoline,PML,True,False,NRNCYVBFPDDJNE,0,0,0,0,0,0,0,0,0,0,0,0
perhexiline,PH,True,False,CYXKNKQEMFBLER,0,,,,,,,,,,1,
phenacetin,PCT,True,True,CPJSUEIXXCENMM,0,0,0,0,0,0,0,0,0,0,0,0
phenobarbital,PB,True,False,DDBREPKUVSBGFI,0,0,0,0,0,0,0,0,0,0,0,0
phenylbutazone,PhB,True,True,VYMDGNCVAMGZFE,0,0,0,0,0,0,0,0,0,0,1,0
phenytoin,PHE,True,False,CXOFVDLJLONNDW,0,0,0,0,0,0,0,0,0,0,0,0
phorone,PHO,True,False,MTZWHHIREPJPTG,0,0,0,0,0,0,0,0,0,0,0,0
promethazine,PMZ,True,False,PWWVAXIEGOYWEE,0,0,0,0,0,0,0,0,0,0,,0
propranolol,PPL,True,False,AQHHHDLHHXJYJD,0,0,,0,0,0,0,0,0,0,,0
propylthiouracil,PTU,True,False,KNAHARQHSZJURB,0,0,0,0,1,0,0,0,0,0,0,0
quinidine,QND,True,False,LOUPRKONTZGTKE,0,0,1,0,0,0,0,,0,0,0,0
ranitidine,RAN,True,False,VMXUWOKSQNHOCA,0,0,0,0,0,0,0,0,0,0,0,0
rifampicin,RIF,True,True,JQXXHWHPUNPDRT,0,0,0,0,0,0,0,0,0,0,1,0
rosiglitazone maleate,RGZ,True,False,YASAKCUCGLMORW,0,,0,0,0,0,1,1,0,0,1,0
rotenone,ROT,True,False,JUVIOZPCNVVQFO,0,0,0,,,0,,1,0,0,,1
simvastatin,SST,True,False,RYMZZMVNJRMUDD,1,0,0,1,1,0,0,1,0,,,0
sulfasalazine,SS,True,False,NCEXYHBECQHGNR,0,0,0,0,0,0,0,0,0,0,0,0
sulindac,SUL,True,False,MLKXDPUZXIRXEP,0,0,1,0,0,0,0,1,0,0,0,0
sulpiride,SLP,True,False,BGRJTUBHPOOWDU,0,0,,0,0,0,0,0,0,0,,0
tacrine,TAC,True,False,YLJREFDVOIBQDA,0,0,1,0,1,0,0,0,0,0,0,0
tamoxifen,TMX,True,False,NKANXQFJJICGDU,0,0,0,1,1,1,0,,0,,,
tannic acid,TAN,True,False,LRBQNJMCXXYXIU,1,0,1,,0,0,,1,1,,1,1
terbinafine,TBF,True,False,DOMXUEMWDBAQBQ,0,0,0,0,0,0,0,,0,0,0,0
theophylline,TEO,True,False,ZFXYFBGIUFBOJW,0,0,0,0,1,0,0,0,0,0,0,0
thioacetamide,TAA,True,True,YUKQRDCYNOVPGJ,0,0,,0,0,0,0,0,0,0,0,0
thioridazine,TRZ,True,False,KLBQZWRITKRQQV,0,0,0,,,0,,,,0,,
ticlopidine,TCP,True,False,PHWBOXQYWZNQIN,0,0,0,0,1,1,0,0,0,0,,0
tiopronin,TIO,True,False,YTGJWQPHMWSCST,0,0,0,0,0,0,0,0,0,0,0,0
tolbutamide,TLB,True,False,JLRGJRBPOGGCBT,0,0,0,0,0,0,0,0,0,0,0,0
triamterene,TRI,True,True,FNYLWPVRPXGIIP,0,,1,,1,,,,1,,0,1
triazolam,TZM,True,False,JOFWLTCLBGQGBO,0,0,0,0,,0,0,,0,,0,0
trimethadione,TMD,True,False,IRYJRGCIQBGHIV,0,0,0,0,0,0,0,0,0,0,0,0
valproic acid,VPA,True,True,NIJJYAXOARWZEE,0,0,0,0,0,0,0,0,0,0,0,0
venlafaxine,VLF,False,False,PNVNVHUZROJLTJ,0,0,0,0,0,0,0,0,0,0,0,0
vitamin A,VA,True,False,FPIPGXGPPPQFEQ,0,0,0,1,0,0,0,1,0,1,1,0
WY-14643,WY,True,False,SZRPDCCEHVWOJX,0,,0,0,0,0,1,,0,0,0,0
