connectivity,source
UMFJAHHVKNCGLG,DrugMatrix
UREBDLICKHMUKA,DrugMatrix
UUVWYPNAQBNQJQ,DrugMatrix
UWFYSQMTEOIJJG,DrugMatrix
UXXQOJXBIDBUAC,DrugMatrix
UYIFTLBWAOGQBI,DrugMatrix
VHOGYURTWQBHIL,DrugMatrix
VHVPQPYKVGDNFY,DrugMatrix
VIKNJXKGJWUCNN,DrugMatrix
VKHAHZOOUSRJNA,DrugMatrix
VNFPBHJOKIVQEB,DrugMatrix
VOXZDWNPVJITMN,DrugMatrix
VQOXZBDYSJBXMA,DrugMatrix
VZGDMQKNWNREIO,DrugMatrix
WBNQDOYYEUMPFS,DrugMatrix
WJCNZQLZVWNLKY,DrugMatrix
WJFKNYWRSNBZNX,DrugMatrix
WQGWDDDVZFFDIG,DrugMatrix
WSEQXVZVJXJVFP,DrugMatrix
WUBBRNOQWQTFEX,DrugMatrix
WUWFMDMBOJLQIV,DrugMatrix
WYWHKKSPHMUBEB,DrugMatrix
WYWIFABBXFUGLM,DrugMatrix
XGALLCVXEZPNRQ,DrugMatrix
XJGBDJOMWKAZJS,DrugMatrix
XMAYWYJOQHXEEK,DrugMatrix
XNKLLVCARDGLGL,DrugMatrix
XUKUURHRXDUEBC,DrugMatrix
XXROGKLTLUQVRX,DrugMatrix
YASAKCUCGLMORW,DrugMatrix
YBBLVLTVTVSKRW,DrugMatrix
YCIMNLLNPGFGHC,DrugMatrix
YFGHCGITMMYXAQ,DrugMatrix
YGSDEFSMJLZEOE,DrugMatrix
YMTINGFKWWXKFG,DrugMatrix
YNJBWRMUSHSURL,DrugMatrix
YREYEVIYCVEVJK,DrugMatrix
YUKQRDCYNOVPGJ,DrugMatrix
ZBMZVLHSJCTVON,DrugMatrix
ZEKZLJVOYLTDKK,DrugMatrix
ZJJXGWJIGJFDTL,DrugMatrix
ZMQAAUBTXCXRIC,DrugMatrix
ZMXDDKWLCZADIW,DrugMatrix
ZNRGQMMCGHDTEI,DrugMatrix
ZRVUJXDFFKFLMG,DrugMatrix
ZSJLQEPLLKMAKR,DrugMatrix
ZXVNMYWKKDOREA,DrugMatrix
AEOCXXJPGCBFJA,TG-GATEs
AEUTYOVWOVBAKS,TG-GATEs
AQIXAKUUQRKLND,TG-GATEs
AUZONCFQVSMFAP,TG-GATEs
BCGWQEUPMDMJNV,TG-GATEs
BGRJTUBHPOOWDU,TG-GATEs
BYFMCKSPFYVMOU,TG-GATEs
CCQPAEQGAVNNIA,TG-GATEs
CJCSPKMFHVPWAR,TG-GATEs
CJDRUOGAGYHKKD,TG-GATEs
CKAPSXZOOQJIBF,TG-GATEs
CMSMOCZEIVJLDB,TG-GATEs
CPJSUEIXXCENMM,TG-GATEs
CXOFVDLJLONNDW,TG-GATEs
CYXKNKQEMFBLER,TG-GATEs
CZCHIEJNWPNBDE,TG-GATEs
DDUHZTYCFQRHIY,TG-GATEs
DOMXUEMWDBAQBQ,TG-GATEs
FAKRSMQSSFJEIM,TG-GATEs
FNYLWPVRPXGIIP,TG-GATEs
FPIPGXGPPPQFEQ,TG-GATEs
GBXSMTUPTTWBMN,TG-GATEs
HSUGRBWQSSZJOP,TG-GATEs
HYIMSNHJOBLJNT,TG-GATEs
HYYBABOKPJLUIN,TG-GATEs
IAIWVQXQOWNYOU,TG-GATEs
IAKHMKGGTNLKSZ,TG-GATEs
IRYJRGCIQBGHIV,TG-GATEs
JLRGJRBPOGGCBT,TG-GATEs
JOFWLTCLBGQGBO,TG-GATEs
JQXXHWHPUNPDRT,TG-GATEs
KLBQZWRITKRQQV,TG-GATEs
KRMDCWKBEZIMAB,TG-GATEs
LIAWQASKBFCRNR,TG-GATEs
LNEPOXFFQSENCJ,TG-GATEs
LOUPRKONTZGTKE,TG-GATEs
LRBQNJMCXXYXIU,TG-GATEs
MKXKFYHWDHIYRV,TG-GATEs
MYSWGUAQZAJSOK,TG-GATEs
NCEXYHBECQHGNR,TG-GATEs
NSYZCCDSJNWWJL,TG-GATEs
NXFQHRVNIOXGAQ,TG-GATEs
NYMGNSNKLVNMIA,TG-GATEs
ODQWQRRAPPTVAG,TG-GATEs
OFCNXPDARWKPPY,TG-GATEs
OZOMQRBLCMDCEG,TG-GATEs
PHWBOXQYWZNQIN,TG-GATEs
PVNIIMVLHYAWGP,TG-GATEs
QARVLSVVCXYDNA,TG-GATEs
QGZKDVFQNNGYKY,TG-GATEs
QRXWMOHMRWLFEY,TG-GATEs
QVCMHGGNRFRMAD,TG-GATEs
RKWGIWYCVPQPMF,TG-GATEs
RYYVLZVUVIJVGH,TG-GATEs
SGUAFYQXFOLMHL,TG-GATEs
SOYKEARSMXGVTM,TG-GATEs
SUBDBMMJDZJVOS,TG-GATEs
UVTNFZQICZKOEM,TG-GATEs
VJJPUSNTGOMMGY,TG-GATEs
VLPIATFUUWWMKC,TG-GATEs
VMXUWOKSQNHOCA,TG-GATEs
VRYMTAVOXVTQEF,TG-GATEs
VUHJZBBCZGVNDZ,TG-GATEs
VYMDGNCVAMGZFE,TG-GATEs
WEQAYVWKMWHEJO,TG-GATEs
WHQCHUCQKNIQEC,TG-GATEs
WIIZWVCIJKGZOK,TG-GATEs
XIURVHNZVLADCM,TG-GATEs
XQYZDYMELSJDRZ,TG-GATEs
XUFQPHANEAPEMJ,TG-GATEs
XZWYZXLIPXDOLR,TG-GATEs
YLJREFDVOIBQDA,TG-GATEs
YTGJWQPHMWSCST,TG-GATEs
ZFXYFBGIUFBOJW,TG-GATEs
ZNNLBTZKUZBEKO,TG-GATEs
ZPEIMTDSQAKGNT,TG-GATEs
ZQDWXGKKHFNSQK,TG-GATEs
ZYGHJZDHTFUPRJ,TG-GATEs
ZZUFCTLCJUWOSV,TG-GATEs
